Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
611 - SEC Network,16-01-2025 01:00,Us4,Not Set ,Basketball,NCAA Division I,Tennessee,Georgia,,United States
654 - FSFL,16-01-2025 01:00,Us18,Not Set ,Basketball,NBA,Milwaukee Bucks,Orlando Magic,,United States
649 - FS-SE,16-01-2025 01:00,Us16,Not Set ,Basketball,NBA,Chicago Bulls,Atlanta Hawks,,United States
245 TNT - D,16-01-2025 01:30,Us10,Not Set ,Ice Hockey,NHL,Minnesota Wild,Edmonton Oilers,,United States
Sport Mix DE [205] HD,16-01-2025 01:30,Euro29,GER-5 ,Ice Hockey,NHL,Minnesota Wild,Edmonton Oilers,,United States
674 - ATTSW,16-01-2025 02:00,Us9,Not Set ,Basketball,NBA,Denver Nuggets,Houston Rockets,,United States
Stadium Feed,16-01-2025 02:00,Euro110,CIS_CH01 ,Soccer,Primera División,Herediano,Guanacasteca,Clausura,Costa Rica
764 - NBA Pass,16-01-2025 02:00,Us20,Not Set ,Basketball,NBA,Utah Jazz,Charlotte Hornets,,United States
221 - CBSSN,16-01-2025 02:00,Us6,Not Set ,Basketball,NCAA Division I,Loyola-Chicago,Rhode Island,,United States
612 ACC,16-01-2025 02:00,Us3,Not Set ,Basketball,NCAA Division I,Virginia,SMU,,United States
208 - ESPN U,16-01-2025 02:00,Us5,Not Set ,Basketball,NCAA Division I,Florida State,Pittsburgh,,United States
219 - FS1,16-01-2025 02:00,Us8,Not Set ,Basketball,Women's College Basketball,Marquette,Seton Hall,,United States
319 BIGTEN -S,16-01-2025 02:30,Us24,Not Set ,Basketball,NCAA Division I,Washington,Purdue,,United States
206 -ESPN 1,16-01-2025 02:30,Us1,Not Set ,Basketball,NBA,Minnesota Timberwolves,Golden State Warriors,,United States
611 - SEC Network,16-01-2025 03:00,Us4,Not Set ,Basketball,NCAA Division I,Oklahoma,Texas,,United States
767 - NBA Pass,16-01-2025 03:00,Us11,Not Set ,Basketball,NBA,Los Angeles Lakers,Miami Heat,,United States
Stadium Feed,16-01-2025 03:25,Euro104,NZC_CH01 ,Cricket,Super Smash,Otago Volts,Northern Districts,,New Zealand
Stadium Feed,16-01-2025 03:30,Euro101,VIDEON_352 ,Badminton,Indian Open,,,Court 1,India
693 - PRIME,16-01-2025 03:30,Us12,Not Set ,Basketball,NBA,Los Angeles Clippers,Brooklyn Nets,,United States
Stadium Feed,16-01-2025 03:30,Euro102,VIDEON_365 ,Badminton,Indian Open,,,Court 2,India
Stadium Feed,16-01-2025 03:35,Euro103,VIDEON_366 ,Badminton,Indian Open,,,Court 3,India
Sport Golf DE [207] HD,16-01-2025 04:00,Euro26,GER-2 ,Golf,Dubai Desert Classic,,,Round 1,United Arab Emirates
Fox Sports 3 HD [503],16-01-2025 04:00,Sa1,Not Set ,Golf,Dubai Desert Classic,,,Round 1,United Arab Emirates
221 - CBSSN,16-01-2025 04:00,Us6,Not Set ,Basketball,NCAA Division I,UNLV,Utah State,,United States
Infront,16-01-2025 04:30,Itf13,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Singh,Lomakin,,India
Infront,16-01-2025 04:30,Itf7,IGM_INF_ITF_CH15 ,Tennis,M25 - Chennai - India,Agafonov,Kumasaka,,India
Infront,16-01-2025 04:30,Itf1,IGM_INF_ITF_CH13 ,Tennis,M25 - Chennai - India,Duhan,Crawford,,India
Infront,16-01-2025 04:53,Itf4,IGM_INF_ITF_CH14 ,Tennis,M25 - Chennai - India,Dzhavakian,Banthia,,India
Infront,16-01-2025 04:54,Itf3,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Singh,Lomakin,,India
206 -ESPN 1,16-01-2025 06:00,Us1,Not Set ,Special Event,News + Analysis,,,SportsCenter,United States
Infront,16-01-2025 06:24,Itf5,IGM_INF_ITF_CH14 ,Tennis,M25 - Chennai - India,Takahashi,Matsuda,,India
Infront,16-01-2025 06:30,Itf17,IGM_INF_ITF_CH10 ,Tennis,W50-New Delhi-IND,Jakupovic,Ibragimova,,India
Stadium Feed,16-01-2025 06:30,Euro108,CRV_CH01 ,Basketball,NBL,New Zealand Breakers,Tasmania JackJumpers,Regular Season,Australia
Infront,16-01-2025 06:40,Itf12,IGM_INF_ITF_CH09 ,Tennis,W50-New Delhi-IND,Bhatia,Miyazaki,,India
Infront,16-01-2025 06:40,Itf21,IGM_INF_ITF_CH11 ,Tennis,W50-New Delhi-IND,Sato,Tikhonova,,India
Infront,16-01-2025 06:50,Itf23,IGM_INF_ITF_CH12 ,Tennis,W50-New Delhi-IND,Smith,Samson,,India
Infront,16-01-2025 06:52,Itf8,IGM_INF_ITF_CH15 ,Tennis,M25 - Chennai - India,Shah,Sakellaridis,,India
Infront,16-01-2025 07:07,Itf11,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Ramanathan,Sureshkumar,,India
Infront,16-01-2025 07:07,Itf2,IGM_INF_ITF_CH13 ,Tennis,M25 - Chennai - India,Park,Vanshelboim,,India
Infront,16-01-2025 07:24,Itf4,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Ramanathan,Sureshkumar,,India
Sport Golf DE [207] HD,16-01-2025 07:30,Euro26,GER-2 ,Golf,Dubai Desert Classic,,,Round 1,United Arab Emirates
313 TSN 3,16-01-2025 08:00,Us25,Not Set ,Tennis,Australian Open,,,Early Round Coverage; Day 5,Australia
